360619	11	q1_8	1
700844	11	q0_1	1
1218726	11	q2_16	1
2281186	11	q3_7	0.967741935
2763530	11	q6_7	0.615384615
3166864	11	q8_0	1
3412796	11	q5_7	1
3776380	11	q7_3	1
3908573	11	q1_8	1
3954404	11	q0_1	1
4074519	11	q2_16	1
4076600	11	q3_7	0.967741935
4076816	11	q2_16	1
4077121	11	q0_1	1
4077553	11	q1_8	1
4078736	11	q0_1	1
4090553	11	q2_16	1
4259692	11	q3_7	0.967741935
4406993	11	q6_7	0.615384615
4518534	11	q8_0	1
4613571	11	q5_7	1
1031566	34	q2_11	1
2001390	34	q6_3	0.681818182
2003694	34	q4_1	0
2004209	34	q6_3	0.681818182
2004938	34	q2_11	1
2005260	34	q6_3	0.681818182
3075367	34	q4_1	0.882352941
3398179	34	q7_10	1
3403462	34	q5_5	0
3437428	34	q7_10	1
4167144	34	q5_5	0.942307692
4707444	34	q3_2	0.428571429
5704593	34	q0_9	0.15625
6953098	34	q1_2	1
8173418	34	q0_9	0.9375
8192422	34	q2_11	1
8275747	34	q0_9	0.9375
8280051	34	q1_2	1
8294582	34	q2_11	1
8297599	34	q6_3	0.681818182
8299908	34	q4_1	0.882352941
8305037	34	q7_10	1
8309031	34	q5_5	0.942307692
8313927	34	q3_2	0.428571429
8317820	34	q0_9	0.9375
8321867	34	q1_2	1
8383264	34	q2_11	1
8386264	34	q6_3	0.681818182
8387314	34	q4_1	0.882352941
8388272	34	q7_10	1
8390663	34	q5_5	0.942307692
8931664	34	q3_2	1
8935255	34	q0_9	0.9375
8949291	34	q2_11	1
8954093	34	q6_3	0.681818182
8955896	34	q4_1	0.882352941
8967018	34	q7_10	1
8972551	34	q5_5	0.942307692
8975947	34	q3_2	1
8978078	34	q1_2	1
9338891	34	q2_11	1
9485006	34	q6_3	0.681818182
9492082	34	q4_1	0.882352941
9661377	34	q7_10	0.909090909
9679020	34	q5_5	0.942307692
9684946	34	q3_2	1
9709166	34	q0_9	0.9375
27881	97	q0_3	0
30043	97	q1_1	0
30422	97	q2_8	0
31316	97	q3_2	0
32025	97	q4_1	0
32572	97	q5_5	0
33091	97	q6_7	0
301866	97	q7_5	1
728472	97	q6_7	0.615384615
892683	97	q5_5	0
898045	97	q0_3	0
919302	97	q1_1	0
920465	97	q2_8	0
921245	97	q3_2	0
922452	97	q4_1	0
923128	97	q5_5	0
924157	97	q6_7	0.615384615
931502	97	q2_8	0
933040	97	q0_3	0
933490	97	q1_1	0
933940	97	q2_8	0
934513	97	q3_2	0
935076	97	q4_1	0
935603	97	q5_5	0
